player,tm,opp,res,mp,fg,fga,fg_pct,3p,3pa,3p_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,game_date,game_id,matchup_id,is_home,won
Blake Wesley,POR,MIN,L,14.933333333333334,2,5,0.4,0,1,0.0,3,5,0.6,0,3,3,4,2,0,2,1,7,6.799999999999999,2025-10-22,20251022_Blake_Wesley_POR_MIN,20251022_MIN_POR,,0
Bobby Portis,MIL,WAS,W,17.25,1,6,0.167,0,0,0.0,0,0,0.0,1,5,6,1,0,0,0,0,2,1.1000000000000003,2025-10-22,20251022_Bobby_Portis_MIL_WAS,20251022_MIL_WAS,,1
Bones Hyland,MIN,POR,W,7.716666666666667,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,2,2,0.4999999999999998,2025-10-22,20251022_Bones_Hyland_MIN_POR,20251022_MIN_POR,,1
Bradley Beal,LAC,UTA,L,20.216666666666665,2,5,0.4,1,4,0.25,0,0,0.0,0,1,1,0,1,0,1,4,5,0.9999999999999996,2025-10-22,20251022_Bradley_Beal_LAC_UTA,20251022_LAC_UTA,,0
Brandon Ingram,TOR,ATL,W,26.865,7,16,0.438,0,2,0.0,2,3,0.667,2,7,9,3,2,0,5,3,16,8.600000000000001,2025-10-22,20251022_Brandon_Ingram_TOR_ATL,20251022_ATL_TOR,,1
Brandon Miller,CHA,BKN,W,30.5,8,19,0.421,2,9,0.222,7,10,0.7,0,0,0,7,1,1,1,4,25,17.699999999999996,2025-10-22,20251022_Brandon_Miller_CHA_BKN,20251022_BKN_CHA,,1
Brandon Williams,DAL,SAS,L,11.566666666666666,0,1,0.0,0,0,0.0,0,2,0.0,0,0,0,2,1,0,1,0,0,-0.1,2025-10-22,20251022_Brandon_Williams_DAL_SAS,20251022_DAL_SAS,,0
Brice Sensabaugh,UTA,LAC,W,22.69,7,13,0.538,3,7,0.429,3,3,1.0,0,4,4,2,1,0,1,5,20,14.3,2025-10-22,20251022_Brice_Sensabaugh_UTA_LAC,20251022_LAC_UTA,,1
Brook Lopez,LAC,UTA,L,16.966666666666665,5,12,0.417,5,11,0.455,0,0,0.0,1,2,3,0,1,0,2,3,15,7.699999999999999,2025-10-22,20251022_Brook_Lopez_LAC_UTA,20251022_LAC_UTA,,0
Bub Carrington,WAS,MIL,L,29.016666666666666,4,9,0.444,3,4,0.75,0,0,0.0,0,5,5,2,1,0,1,3,11,8.0,2025-10-22,20251022_Bub_Carrington_WAS_MIL,20251022_MIL_WAS,,0
